id,lat,lon,user,uid,version,changeset,timestamp
32958566,36.0887411,-87.7429112,WJHildreth,10759,1,171410,2007-07-27T17:31:55Z
32959464,36.1032818,-87.6176183,WJHildreth,10759,1,171410,2007-07-27T17:58:34Z
33407959,35.9886913,-87.4899583,Lambertus,6424,3,7796751,2011-04-07T17:52:29Z
33408717,36.0838209,-87.4061407,dr ingrid,1901542,2,25916940,2014-10-07T13:30:08Z
34812050,36.5073459,-87.367614,Shawn Noble,1791301,39,27485648,2014-12-15T16:16:54Z
37059451,36.0304551,-87.2076943,rickmastfan67,252811,4,12460598,2012-07-24T06:19:20Z
37075207,36.14771,-86.876825,O-Mega,68606,14,616617,2008-10-28T21:18:35Z
38453020,35.5637564,-86.9064809,RoadGeek_MD99,475877,6,11677039,2012-05-23T00:07:32Z
53654342,36.172202,-87.348208,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:36:07Z
53654536,36.171589,-87.432512,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:36:12Z
53654728,36.0709069,-87.4304422,dr ingrid,1901542,3,20392268,2014-02-05T13:09:01Z
53655003,36.146868,-87.53371,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:36:24Z
53655183,36.0737749,-87.3732451,615rich,2847960,3,30386579,2015-04-21T18:26:57Z
53655415,36.208628,-87.464074,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:36:36Z
53655655,36.1676,-87.526393,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:36:44Z
53655891,36.1467596,-87.3651381,dr ingrid,1901542,3,20392268,2014-02-05T13:33:12Z
53656097,36.221643,-87.500012,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:36:56Z
53656327,36.202095,-87.343575,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:37:02Z
53656514,36.127903,-87.19569,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:37:07Z
53656705,36.114808,-87.535564,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:37:13Z
53657083,36.05498,-87.397178,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:37:24Z
53657322,36.085358,-87.278091,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:37:31Z
53657535,36.202272,-87.409539,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:37:37Z
53657748,36.0889517,-87.3028681,dr ingrid,1901542,3,25916940,2014-10-07T13:30:08Z
53657957,36.1143841,-87.219434,AndrewSnow,371121,3,24212914,2014-07-18T03:20:06Z
53658221,36.087122,-87.3993136,homeslice60148,365944,3,25448454,2014-09-15T07:31:37Z
53658417,36.244099,-87.461602,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:38:21Z
53658609,36.0861111,-87.4177137,RoadGeek_MD99,475877,3,19836988,2014-01-06T02:12:57Z
53658796,36.264046,-87.236614,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:38:36Z
53659021,36.253567,-87.451643,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:38:45Z
53659240,36.111467,-87.308831,adamos,25867,3,25483128,2014-09-16T16:41:32Z
53659503,36.181057,-87.386634,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:39:02Z
53659756,36.270341,-87.286689,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:39:11Z
53659942,36.026467,-87.287527,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:39:18Z
53660142,35.999732,-87.216557,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:39:26Z
53660388,36.315239,-87.506978,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:39:36Z
53660606,36.248783,-87.308353,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:39:45Z
53660823,36.25729,-87.294355,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:39:54Z
53661019,36.0807762,-87.3498278,CynicalDooDad,1505651,5,26768526,2014-11-14T00:57:39Z
53661242,36.030577,-87.38443,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:40:11Z
53661482,36.0717307,-87.2227224,CynicalDooDad,1505651,4,26283769,2014-10-23T17:44:52Z
53661686,36.053689,-87.462202,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:40:30Z
53661878,36.275482,-87.314811,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:40:50Z
53662252,36.294529,-87.199599,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:40:59Z
53662443,36.069297,-87.457672,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:41:04Z
53662641,36.223044,-87.196239,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:41:08Z
53662816,36.013912,-87.240867,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:41:13Z
53663039,36.254805,-87.292477,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:41:18Z
53663295,36.141897,-87.377178,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:41:23Z
53663520,35.979643,-87.216592,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:41:28Z
53663832,36.040309,-87.297251,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:41:36Z
53664086,36.0610207,-87.3404309,CynicalDooDad,1505651,3,26247094,2014-10-22T02:44:21Z
53664382,36.084168,-87.3335356,dr ingrid,1901542,4,25916940,2014-10-07T13:30:09Z
53664568,36.234761,-87.391184,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:41:53Z
53664853,36.18387,-87.410935,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:42:00Z
53665074,36.065812,-87.37455,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:42:05Z
53665278,36.230686,-87.214907,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:42:10Z
53665487,36.26342,-87.36813,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:42:16Z
53665700,36.071144,-87.28681,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:42:36Z
53665972,36.0643598,-87.3683271,dannykath,2226712,3,40667431,2016-07-11T21:47:37Z
53666220,36.204965,-87.384561,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:42:50Z
53666488,36.038724,-87.342637,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:42:57Z
53666668,36.087313,-87.32455,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:43:02Z
53666879,36.084445,-87.289968,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:43:08Z
53667142,36.126413,-87.182474,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:43:14Z
53667459,36.071006,-87.386497,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:43:22Z
53667693,35.985522,-87.438435,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:43:29Z
53667906,36.0048,-87.445461,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:43:34Z
53668150,36.210568,-87.246309,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:43:40Z
53668398,36.218895,-87.278709,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:43:46Z
53668639,36.012228,-87.359798,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:43:53Z
53668856,36.098826,-87.296561,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:43:59Z
53669127,36.081162,-87.262548,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:44:05Z
53669318,36.165338,-87.29254,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:44:11Z
53669595,36.0886539,-87.4322254,gcjunge,775666,3,13229460,2012-09-24T06:52:18Z
53669800,36.180638,-87.300104,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:44:39Z
53670010,36.047288,-87.296014,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:44:45Z
53670196,36.187999,-87.348846,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:44:50Z
53670411,36.11174,-87.257507,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:44:57Z
53670666,36.049865,-87.19683,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:45:04Z
53670943,36.19671,-87.352469,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:45:11Z
53671189,36.202595,-87.316294,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:45:18Z
53671411,36.0299567,-87.3640519,dr ingrid,1901542,3,26086177,2014-10-15T03:23:17Z
53671674,36.0885834,-87.3773274,brogo,63107,4,26051816,2014-10-13T15:59:07Z
53671854,36.0227553,-87.2528014,Lambertus,6424,3,7799120,2011-04-07T21:52:32Z
53672100,36.218234,-87.331583,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:45:41Z
53672307,36.120748,-87.409339,Spanholz,2209894,4,43888823,2016-11-23T07:45:23Z
53672505,36.101785,-87.401128,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:45:52Z
53672765,36.154229,-87.288507,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:45:59Z
53673021,36.0582754,-87.2991173,CynicalDooDad,1505651,4,26220103,2014-10-20T18:38:52Z
53673238,36.248151,-87.380122,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:46:27Z
53673426,36.097656,-87.468523,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:46:34Z
53673643,36.017076,-87.247995,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:46:40Z
53673872,36.1239549,-87.4916341,homeslice60148,365944,3,25448454,2014-09-15T07:31:39Z
53674153,35.982372,-87.203512,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:46:56Z
53674374,36.229899,-87.252136,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:47:03Z
53674558,36.2229947,-87.4352761,maxerickson,360392,3,30394203,2015-04-22T02:42:09Z
53674775,36.288868,-87.182272,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:47:16Z
53674960,36.212189,-87.330763,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:47:22Z
53675173,36.205549,-87.308722,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:47:29Z
53675377,36.112419,-87.361926,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:47:35Z
53675586,36.291296,-87.186798,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:47:41Z
53675763,36.014861,-87.539887,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:47:47Z
53675964,36.150876,-87.181205,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:47:53Z
53676145,36.189565,-87.547175,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:48:00Z
53676375,35.995784,-87.481222,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:48:07Z
53676569,36.257008,-87.270295,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:48:14Z
53676764,36.107334,-87.253455,isheerin17,2118267,3,24751451,2014-08-14T17:59:44Z
53676966,36.064305,-87.508082,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:48:27Z
53677154,36.165976,-87.33849,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:48:48Z
53677358,35.970186,-87.220271,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:48:54Z
