id,key,value,type
6757847,name,Callagan Drive,regular
6757847,access,private,regular
6757847,highway,service,regular
6757847,cfcc,A74,tiger
6757847,county,"Dickson, TN",tiger
6757847,reviewed,no,tiger
6757847,name_base,Callagan,tiger
6757847,name_type,Dr,tiger
6759044,access,private,regular
6759044,highway,service,regular
6759044,cfcc,A74,tiger
6759044,tlid,72767280,tiger
6759044,county,"Dickson, TN",tiger
6759044,source,tiger_import_dch_v0.6_20070829,tiger
6759044,reviewed,no,tiger
6759044,upload_uuid,bulk_upload.pl-bc81962a-c145-49e1-bb14-43b926e486ca,tiger
6760099,access,private,regular
6760099,highway,service,regular
6760099,cfcc,A74,tiger
6760099,tlid,72753030:72752451,tiger
6760099,county,"Dickson, TN",tiger
6760099,source,tiger_import_dch_v0.6_20070829,tiger
6760099,reviewed,no,tiger
6760099,upload_uuid,bulk_upload.pl-bc81962a-c145-49e1-bb14-43b926e486ca,tiger
6761126,highway,service,regular
6761126,service,driveway,regular
6761126,cfcc,A41,tiger
6761126,county,"Dickson, TN",tiger
6761126,reviewed,no,tiger
6762218,access,private,regular
6762218,highway,service,regular
6762218,cfcc,A74,tiger
6762218,tlid,72758374,tiger
6762218,county,"Dickson, TN",tiger
6762218,source,tiger_import_dch_v0.6_20070829,tiger
6762218,reviewed,no,tiger
6762218,upload_uuid,bulk_upload.pl-bc81962a-c145-49e1-bb14-43b926e486ca,tiger
6763074,highway,residential,regular
6763074,cfcc,A41,tiger
6763074,county,"Dickson, TN",tiger
6763074,reviewed,no,tiger
6763928,highway,residential,regular
6763928,cfcc,A41,tiger
6763928,tlid,72750867,tiger
6763928,county,"Dickson, TN",tiger
6763928,source,tiger_import_dch_v0.6_20070829,tiger
6763928,reviewed,no,tiger
6763928,separated,no,tiger
6763928,upload_uuid,bulk_upload.pl-bc81962a-c145-49e1-bb14-43b926e486ca,tiger
6764742,access,private,regular
6764742,highway,service,regular
6764742,cfcc,A74,tiger
6764742,tlid,72764018,tiger
6764742,county,"Dickson, TN",tiger
6764742,source,tiger_import_dch_v0.6_20070829,tiger
6764742,reviewed,no,tiger
6764742,upload_uuid,bulk_upload.pl-bc81962a-c145-49e1-bb14-43b926e486ca,tiger
6765591,access,private,regular
6765591,highway,service,regular
6765591,service,driveway,regular
6765591,cfcc,A74,tiger
6765591,county,"Dickson, TN",tiger
6766416,highway,residential,regular
6766416,cfcc,A41,tiger
6766416,tlid,72750012,tiger
6766416,county,"Dickson, TN",tiger
6766416,source,tiger_import_dch_v0.6_20070829,tiger
6766416,reviewed,no,tiger
6766416,separated,no,tiger
6766416,upload_uuid,bulk_upload.pl-bc81962a-c145-49e1-bb14-43b926e486ca,tiger
6767025,highway,residential,regular
6767025,cfcc,A41,tiger
6767025,tlid,72761144,tiger
6767025,county,"Dickson, TN",tiger
6767025,source,tiger_import_dch_v0.6_20070829,tiger
6767025,reviewed,no,tiger
6767025,separated,no,tiger
6767025,upload_uuid,bulk_upload.pl-bc81962a-c145-49e1-bb14-43b926e486ca,tiger
6767804,name,Reddon Road,regular
6767804,highway,residential,regular
6767804,cfcc,A41,tiger
6767804,county,"Dickson, TN",tiger
6767804,reviewed,no,tiger
6767804,name_base,Reddon,tiger
6767804,name_type,Rd,tiger
6769228,name,Skyline Court,regular
6769228,highway,residential,regular
6769228,cfcc,A41,tiger
6769228,county,"Dickson, TN",tiger
6769228,reviewed,no,tiger
6769228,name_base,Skyline,tiger
6769228,name_type,Ct,tiger
6770359,name,Burgess Road,regular
6770359,highway,residential,regular
6770359,cfcc,A41,tiger
6770359,county,"Dickson, TN",tiger
6770359,reviewed,no,tiger
6770359,zip_left,37055,tiger
6770359,name_base,Burgess,tiger
6770359,name_type,Rd,tiger
6770359,zip_right,37055,tiger
6771661,name,Sylvis Street,regular
6771661,highway,residential,regular
6771661,cfcc,A41,tiger
6771661,county,"Dickson, TN",tiger
6771661,zip_left,37055,tiger
6771661,name_base,Sylvis,tiger
6771661,name_type,St,tiger
6771661,zip_right,37055,tiger
6772850,name,Roy Brown Road,regular
6772850,highway,residential,regular
6772850,cfcc,A41,tiger
6772850,county,"Dickson, TN",tiger
